Package	Year	Month	Nb_of_distinct_IPs
biomaRt	2015	Jan	361
biomaRt	2015	Feb	274
biomaRt	2015	Mar	408
biomaRt	2015	Apr	370
biomaRt	2015	May	364
biomaRt	2015	Jun	367
biomaRt	2015	Jul	391
biomaRt	2015	Aug	312
biomaRt	2015	Sep	471
biomaRt	2015	Oct	532
biomaRt	2015	Nov	697
biomaRt	2015	Dec	412
DESeq	2015	Jan	188
DESeq	2015	Feb	129
DESeq	2015	Mar	141
DESeq	2015	Apr	150
DESeq	2015	May	182
DESeq	2015	Jun	155
DESeq	2015	Jul	136
DESeq	2015	Aug	149
DESeq	2015	Sep	201
DESeq	2015	Oct	160
DESeq	2015	Nov	158
DESeq	2015	Dec	139
DESeq2	2015	Jan	286
DESeq2	2015	Feb	242
DESeq2	2015	Mar	275
DESeq2	2015	Apr	240
DESeq2	2015	May	290
DESeq2	2015	Jun	253
DESeq2	2015	Jul	336
DESeq2	2015	Aug	222
DESeq2	2015	Sep	270
DESeq2	2015	Oct	441
DESeq2	2015	Nov	508
DESeq2	2015	Dec	393
DEXSeq	2015	Jan	93
DEXSeq	2015	Feb	36
DEXSeq	2015	Mar	64
DEXSeq	2015	Apr	64
DEXSeq	2015	May	57
DEXSeq	2015	Jun	59
DEXSeq	2015	Jul	194
DEXSeq	2015	Aug	59
DEXSeq	2015	Sep	71
DEXSeq	2015	Oct	119
DEXSeq	2015	Nov	205
DEXSeq	2015	Dec	179
EBImage	2015	Jan	78
EBImage	2015	Feb	61
EBImage	2015	Mar	74
EBImage	2015	Apr	82
EBImage	2015	May	73
EBImage	2015	Jun	85
EBImage	2015	Jul	69
EBImage	2015	Aug	70
EBImage	2015	Sep	60
EBImage	2015	Oct	78
EBImage	2015	Nov	92
EBImage	2015	Dec	83
IONiseR	2015	Jul	1
IONiseR	2015	Sep	2
IONiseR	2015	Nov	3
IONiseR	2015	Dec	3
rhdf5	2015	Jan	73
rhdf5	2015	Feb	70
rhdf5	2015	Mar	93
rhdf5	2015	Apr	88
rhdf5	2015	May	63
rhdf5	2015	Jun	82
rhdf5	2015	Jul	60
rhdf5	2015	Aug	89
